X,Y,Z,V_x,V_y,V_z
-45.0,-50.0,0.0,78.97090928492854,50.592837698727394,34.71650137262091
-45.66987298107781,-47.58518543427733,0.6470476127563017,11.903778736499703,33.23458701241695,30.065372119207048
-47.5,-45.81741848131096,1.1207193402100666,-37.19276834280498,-14.189035793100558,17.35825068631046
-50.0,-45.170370868554656,1.2940952255126037,-55.16335181192919,-78.97090928492852,2.1257726141787447e-15
-52.5,-45.81741848131096,1.1207193402100668,-37.19276834280501,-143.75278277675648,-17.35825068631045
-54.33012701892219,-47.58518543427733,0.6470476127563023,11.903778736499646,-191.176405582274,-30.065372119207037
-55.0,-50.0,1.5848095757158823e-16,78.97090928492852,-208.53465626858446,-34.71650137262091
-54.3301270189222,-52.41481456572267,-0.6470476127563015,146.03803983335737,-191.17640558227407,-30.065372119207055
-52.5,-54.18258151868904,-1.1207193402100664,195.13458691266203,-143.7527827767566,-17.358250686310473
-50.0,-54.829629131445344,-1.2940952255126037,213.10517038178625,-78.97090928492855,-5.582839217484173e-15
-47.5,-54.18258151868904,-1.1207193402100675,195.13458691266214,-14.189035793100658,17.358250686310434
-45.66987298107781,-52.41481456572267,-0.6470476127563024,146.03803983335746,33.234587012416895,30.065372119207034
-43.75,-50.0,0.0,78.97090928492854,58.36638784342715,36.799417856216046
-44.29034088973374,-47.54451607471854,0.6579449348067712,21.140266721309878,46.49295467159304,33.617941026438196
-45.81793371025714,-45.51360762748939,1.2021252131433662,-26.690932368164823,12.925679618254776,24.62361678378284
-48.06864378515658,-44.258437179062504,1.53844712116276,-56.252239128123264,-36.531350510744964,11.371645500675655
-50.65330289542283,-43.99603510283644,1.6087575455797847,-62.43223506372753,-93.32656590308866,-3.8465865976545057
-53.125,-44.7717731016387,1.4008991752625837,-44.16234273421124,-147.63955784910635,-18.399708928108016
-55.05635621484342,-46.4515190281179,0.9508126107730135,-4.601592500108879,-190.07911662328993,-29.771354428783674
-56.11342250458628,-48.74482955157311,0.3363219080193944,49.40960252497008,-213.30705696229546,-35.9952622844585
-56.11342250458628,-51.25517044842688,-0.33632190801939327,108.5322160448869,-213.30705696229546,-35.9952622844585
-55.05635621484342,-53.5484809718821,-0.9508126107730132,162.54341106996594,-190.07911662329,-29.771354428783688
-53.125,-55.2282268983613,-1.400899175262583,202.10416130406827,-147.63955784910647,-18.399708928108048
-50.65330289542284,-56.00396489716356,-1.6087575455797847,220.3740536335846,-93.32656590308878,-3.846586597654539
-48.06864378515658,-55.741562820937496,-1.5384471211627602,214.19405769798033,-36.531350510744986,11.37164550067565
-45.81793371025714,-54.48639237251061,-1.2021252131433668,184.63275093802196,12.92567961825472,24.623616783782822
-44.29034088973375,-52.45548392528147,-0.6579449348067724,136.80155184854732,46.492954671592955,33.617941026438174
-42.5,-50.0,0.0,78.97090928492854,62.959064430752036,38.03002183888708
-42.95230534410569,-47.52225432837986,0.6639099517603265,28.715590883370197,54.399639684034426,35.73653089032913
-44.25466667660766,-45.343361352388655,1.2477425650710143,-15.47819442945277,29.753758391991184,29.132686901372825
-46.25,-43.72612772196644,1.6810790103151003,-48.28002391400719,-8.005922427088237,19.015010919443544
-48.69763866749802,-42.865615680768514,1.9116525168313412,-65.73351283101108,-54.325027992885275,6.6038439889563065
-51.302361332501974,-42.865615680768514,1.9116525168313412,-65.73351283101111,-103.6167905769718,-6.603843988956303
-53.75,-43.72612772196644,1.6810790103151005,-48.28002391400722,-149.9358961427688,-19.01501091944353
-55.74533332339234,-45.343361352388655,1.2477425650710148,-15.478194429452785,-187.69557696184825,-29.132686901372818
-57.04769465589431,-47.52225432837986,0.6639099517603269,28.71559088337017,-212.34145825389152,-35.73653089032913
-57.5,-50.0,2.377214363573824e-16,78.97090928492852,-220.9008830006091,-38.03002183888708
-57.04769465589431,-52.47774567162014,-0.6639099517603264,129.22622768648688,-212.34145825389152,-35.73653089032913
-55.74533332339234,-54.656638647611345,-1.2477425650710143,173.42001299930985,-187.69557696184827,-29.13268690137283
-53.75000000000001,-56.27387227803356,-1.6810790103150999,206.22184248386424,-149.9358961427689,-19.01501091944356
-51.30236133250198,-57.134384319231486,-1.9116525168313412,223.67533140086817,-103.6167905769718,-6.603843988956303
-48.697638667498026,-57.134384319231486,-1.9116525168313412,223.67533140086817,-54.32502799288533,6.603843988956291
